Temperature ( C) , Humidity ( %) , Light ( lx) , Battery ( %) , Solar Panel ( V) , Carbon Monxide ( kOhm) , Nitrogen Dioxide ( kOhm) , Noise ( dB) , UTC
22.00,46.10,4540.80,80.30,0.00,427.22,22.78,62.12,2016-02-00 15:54:57
22.00,46.10,4540.80,80.20,0.00,428.95,22.76,94.90,2016-02-00 15:55:07
22.00,46.10,4540.80,80.20,0.00,425.64,22.77,93.13,2016-02-00 15:55:17
22.00,46.00,4540.80,80.30,0.00,422.19,22.78,68.96,2016-02-00 15:55:27
22.10,45.90,4540.80,80.20,0.00,429.01,22.80,85.46,2016-02-00 15:55:37
22.10,45.80,4540.80,80.10,0.00,435.90,22.91,93.95,2016-02-00 15:55:47
22.10,45.70,4540.80,80.20,0.00,435.27,22.98,82.18,2016-02-00 15:55:57
22.00,45.70,4540.80,80.30,0.00,432.29,23.00,81.30,2016-02-00 15:56:07
22.00,45.80,4540.80,80.20,0.00,435.55,22.93,94.61,2016-02-00 15:56:17
22.00,45.80,4540.80,80.20,0.00,435.75,23.00,95.29,2016-02-00 15:56:27
22.10,45.80,4540.80,80.30,0.00,439.21,23.01,53.90,2016-02-00 15:56:37
22.10,45.80,4540.80,80.20,0.00,436.00,23.02,54.79,2016-02-00 15:56:47
22.00,45.80,4540.80,80.20,0.00,435.95,23.02,64.12,2016-02-00 15:56:57
21.90,45.90,4540.80,80.10,0.00,439.43,23.03,64.57,2016-02-00 15:57:07
21.90,46.00,4540.80,80.20,0.00,439.30,23.01,53.74,2016-02-00 15:57:17
21.90,46.10,4540.80,80.20,0.00,433.97,23.01,65.37,2016-02-00 15:57:27
21.80,46.10,4540.80,80.20,0.00,439.38,23.12,55.58,2016-02-00 15:57:37
21.70,46.30,4540.80,80.20,0.00,439.40,23.13,56.27,2016-02-00 15:57:47
21.70,46.30,4540.80,80.20,0.00,439.30,23.13,82.92,2016-02-00 15:57:58
21.70,46.30,4540.80,80.10,0.00,439.43,23.13,66.00,2016-02-00 15:58:08
21.70,46.30,4540.80,80.30,0.00,439.22,23.12,85.05,2016-02-00 15:58:18
21.70,46.30,4540.80,80.10,0.00,442.92,23.13,65.28,2016-02-00 15:58:28
21.70,46.30,4540.80,80.20,0.00,439.26,23.12,68.07,2016-02-00 15:58:38
21.70,46.30,4540.80,80.20,0.00,439.26,23.13,74.87,2016-02-00 15:58:48
21.70,46.40,4540.80,80.20,0.00,439.25,23.21,85.51,2016-02-00 15:58:58
21.70,46.40,4540.80,80.70,0.00,439.22,23.14,64.99,2016-02-00 15:59:08
21.70,46.40,4540.80,80.20,0.00,436.97,23.12,83.85,2016-02-00 15:59:18
21.70,46.40,4540.80,80.60,0.00,438.75,23.12,68.19,2016-02-00 15:59:28
21.80,46.40,4540.80,80.20,0.00,439.33,23.13,64.85,2016-02-00 15:59:38
21.80,46.30,4540.80,80.60,0.00,442.61,23.13,65.77,2016-02-00 15:59:48
21.90,46.20,4540.80,80.20,0.00,439.75,23.12,83.59,2016-02-00 15:59:58
21.90,46.10,4540.80,80.50,0.00,442.93,23.14,66.12,2016-02-00 16:00:08
22.00,46.00,4540.80,80.50,0.00,439.08,23.11,82.70,2016-02-00 16:00:18
22.00,45.90,4540.80,80.60,0.00,439.27,23.12,76.89,2016-02-00 16:00:28
22.00,45.90,4540.80,80.30,0.00,439.26,23.12,67.13,2016-02-00 16:00:38
22.00,45.90,4540.80,80.20,0.00,439.34,23.13,70.84,2016-02-00 16:00:48
22.00,45.90,4540.80,80.20,0.00,442.60,23.11,82.36,2016-02-00 16:00:58
22.00,46.00,4540.80,80.30,0.00,442.73,23.12,66.03,2016-02-00 16:01:08
22.00,46.00,4540.80,80.20,0.00,442.66,23.12,81.73,2016-02-00 16:01:18
22.00,46.00,4540.80,80.30,0.00,439.22,23.12,64.93,2016-02-00 16:01:28
22.00,46.00,4540.80,80.60,0.00,442.99,23.13,66.25,2016-02-00 16:01:38
22.00,45.90,4540.80,80.60,0.00,446.37,23.23,73.21,2016-02-00 16:01:48
22.00,46.00,4540.80,80.60,0.00,439.32,23.23,81.16,2016-02-00 16:01:58
22.00,45.90,4540.80,80.60,0.00,442.85,23.13,71.14,2016-02-00 16:02:08
22.00,46.00,4540.80,80.60,0.00,439.29,23.13,81.10,2016-02-00 16:02:18
22.10,46.00,4540.80,80.60,0.00,441.97,23.14,64.35,2016-02-00 16:02:28
22.10,45.90,4540.80,80.60,0.00,442.88,23.24,60.17,2016-02-00 16:02:38
22.10,45.90,4540.80,80.60,0.00,449.74,23.24,52.53,2016-02-00 16:02:48
22.20,45.80,4540.80,80.60,0.00,446.38,23.23,80.02,2016-02-00 16:02:58
22.20,45.80,4540.80,80.50,0.00,443.85,23.23,64.94,2016-02-00 16:03:08
22.20,45.70,4540.80,80.50,0.00,450.02,23.24,80.23,2016-02-00 16:03:18
22.20,45.70,4540.80,80.60,0.00,446.45,23.24,64.29,2016-02-00 16:03:28
22.20,45.70,4540.80,80.70,0.00,446.25,23.29,59.81,2016-02-00 16:03:38
22.20,45.80,4540.80,80.60,0.00,442.84,23.24,59.96,2016-02-00 16:03:48
22.20,45.80,4540.80,80.70,0.00,442.64,23.22,78.86,2016-02-00 16:03:58
22.20,45.70,4540.80,80.60,0.00,433.23,23.24,49.53,2016-02-00 16:04:08
22.20,45.70,4540.80,80.50,0.00,435.82,23.25,78.83,2016-02-00 16:04:19
22.20,45.70,4540.80,80.60,0.00,435.83,23.35,54.80,2016-02-00 16:04:29
22.20,45.70,4540.80,80.60,0.00,432.40,23.25,64.50,2016-02-00 16:04:39
22.10,45.70,4540.80,80.50,0.00,435.92,23.28,61.53,2016-02-00 16:04:49
22.10,45.70,4540.80,80.50,0.00,440.74,23.35,78.51,2016-02-00 16:04:59
22.00,45.80,4540.80,80.60,0.00,442.80,23.35,54.80,2016-02-00 16:05:09
22.10,45.90,4540.80,80.70,0.00,439.13,23.33,78.33,2016-02-00 16:05:19
22.00,45.90,4540.80,80.70,0.00,439.19,23.34,65.26,2016-02-00 16:05:29
21.90,46.00,4540.80,80.70,0.00,439.20,23.43,72.49,2016-02-00 16:05:39
21.90,46.10,4540.80,80.70,0.00,439.12,23.45,72.15,2016-02-00 16:05:49
21.80,46.20,4540.80,80.70,0.00,435.61,23.41,75.77,2016-02-00 16:05:59
21.90,46.30,4540.80,80.60,0.00,435.78,23.35,60.12,2016-02-00 16:06:09
21.80,46.30,4540.80,80.50,0.00,435.95,23.46,75.18,2016-02-00 16:06:19
21.70,46.50,4540.80,80.60,0.00,435.36,23.43,82.82,2016-02-00 16:06:29
21.60,46.60,4540.80,80.60,0.00,438.21,23.46,70.99,2016-02-00 16:06:39
21.60,46.70,4540.80,80.60,0.00,439.29,23.47,67.47,2016-02-00 16:06:49
21.50,46.90,4540.80,80.80,0.00,438.96,23.48,73.59,2016-02-00 16:06:59
21.50,47.00,4540.80,80.60,0.00,442.86,23.54,64.59,2016-02-00 16:07:09
21.40,47.10,4540.80,80.70,0.00,440.78,23.55,71.99,2016-02-00 16:07:19
21.40,47.20,4540.80,80.60,0.00,443.50,23.57,66.20,2016-02-00 16:07:29
21.30,47.20,4540.80,81.00,0.00,446.37,23.57,67.50,2016-02-00 16:07:39
21.30,47.30,4540.80,80.60,0.00,444.13,23.58,71.74,2016-02-00 16:07:49
21.20,47.40,4540.80,80.60,0.00,444.02,23.57,71.24,2016-02-00 16:07:59
21.30,47.50,4540.80,81.00,0.00,442.80,23.57,64.68,2016-02-00 16:08:09
21.40,47.40,4540.80,80.60,0.00,442.83,23.57,70.93,2016-02-00 16:08:19
21.50,47.20,4540.80,80.60,0.00,446.38,23.57,87.54,2016-02-00 16:08:29
21.60,47.10,4540.80,81.00,0.00,443.56,23.57,77.18,2016-02-00 16:08:39
21.70,46.90,4540.80,81.10,0.00,442.81,23.56,76.39,2016-02-00 16:08:49
21.70,46.80,4540.80,81.00,0.00,446.30,23.46,77.90,2016-02-00 16:08:59
21.80,46.70,4540.80,81.10,0.00,446.30,23.56,67.60,2016-02-00 16:09:09
21.80,46.60,4540.80,81.10,0.00,442.75,23.57,80.32,2016-02-00 16:09:19
21.80,46.50,4540.80,81.00,0.00,439.27,23.57,72.53,2016-02-00 16:09:29
21.90,46.50,4540.80,81.00,0.00,440.21,23.50,68.14,2016-02-00 16:09:39
21.90,46.40,4540.80,81.00,0.00,442.96,23.47,70.88,2016-02-00 16:09:49
21.90,46.30,4540.80,81.00,0.00,446.04,23.47,74.62,2016-02-00 16:09:59
22.00,46.30,4540.80,81.00,0.00,446.38,23.46,65.80,2016-02-00 16:10:09
22.00,46.40,4540.80,81.10,0.00,446.22,23.45,64.55,2016-02-00 16:10:19
22.00,46.30,4540.80,81.10,0.00,449.83,23.45,54.80,2016-02-00 16:10:29
22.10,46.20,4540.80,81.10,0.00,446.33,23.46,64.29,2016-02-00 16:10:40
22.10,46.10,4540.80,81.10,0.00,449.82,23.47,64.77,2016-02-00 16:10:50
22.10,46.10,4540.80,81.00,0.00,450.13,23.58,56.90,2016-02-00 16:11:00
22.10,46.10,4540.80,81.10,0.00,449.82,23.55,54.80,2016-02-00 16:11:10
22.10,46.10,4540.80,81.10,0.00,446.38,23.55,65.44,2016-02-00 16:11:20
22.10,46.20,4540.80,81.00,0.00,442.94,23.46,65.62,2016-02-00 16:11:30
22.10,46.10,4540.80,81.10,0.00,442.77,23.46,55.96,2016-02-00 16:11:40
22.10,46.10,4540.80,81.00,0.00,439.34,23.47,71.00,2016-02-00 16:11:50
22.20,46.20,4540.80,81.00,0.00,442.80,23.46,64.45,2016-02-00 16:12:00
22.20,46.10,4540.80,81.00,0.00,446.40,23.46,81.50,2016-02-00 16:12:10
22.20,46.10,4540.80,81.00,0.00,446.40,23.47,67.17,2016-02-00 16:12:20
22.10,46.20,4540.80,81.10,0.00,449.89,23.45,65.63,2016-02-00 16:12:30
22.10,46.30,4540.80,80.60,0.00,449.96,23.46,70.86,2016-02-00 16:12:40
22.10,46.20,4540.80,81.00,0.00,446.96,23.46,86.59,2016-02-00 16:12:50
22.10,46.20,4540.80,81.00,0.00,453.72,23.47,67.29,2016-02-00 16:13:00
22.00,46.20,4540.80,81.00,0.00,450.02,23.57,85.32,2016-02-00 16:13:10
21.90,46.30,4540.80,81.00,0.00,453.70,23.58,70.81,2016-02-00 16:13:20
21.80,46.50,4540.80,81.00,0.00,453.84,23.58,64.39,2016-02-00 16:13:30
21.70,46.80,4540.80,81.00,0.00,450.44,23.57,72.62,2016-02-00 16:13:40
21.60,46.90,4540.80,80.60,0.00,453.63,23.57,83.72,2016-02-00 16:13:50
21.60,47.10,4540.80,81.00,0.00,450.27,23.58,54.85,2016-02-00 16:14:00
21.60,47.20,4540.80,81.00,0.00,449.99,23.58,84.42,2016-02-00 16:14:10
21.50,47.20,4540.80,81.00,0.00,453.52,23.58,71.53,2016-02-00 16:14:20
21.50,47.40,4540.80,81.00,0.00,453.77,23.58,64.74,2016-02-00 16:14:30
21.40,47.50,4540.80,81.00,0.00,453.71,23.58,73.79,2016-02-00 16:14:40
21.40,47.50,4540.80,81.00,0.00,453.37,23.64,88.50,2016-02-00 16:14:50
21.40,47.60,4540.80,80.90,0.00,450.51,23.68,85.88,2016-02-00 16:15:00
21.40,47.70,4540.80,81.00,0.00,452.12,23.66,82.77,2016-02-00 16:15:10
21.40,47.70,4540.80,81.10,0.00,453.88,23.69,73.16,2016-02-00 16:15:20
21.30,47.70,4540.80,81.10,0.00,456.91,23.78,76.80,2016-02-00 16:15:30
21.20,47.80,4540.80,81.00,0.00,457.28,23.82,72.78,2016-02-00 16:15:40
21.10,47.90,4540.80,81.10,0.00,458.82,23.88,83.50,2016-02-00 16:15:50
21.10,48.10,4540.80,81.00,0.00,457.09,23.92,72.59,2016-02-00 16:16:00
21.20,48.00,4540.80,81.00,0.00,457.03,23.91,83.64,2016-02-00 16:16:10
21.40,47.90,4540.80,80.80,0.00,457.84,23.84,74.20,2016-02-00 16:16:20
21.50,47.70,4540.80,81.50,0.00,457.29,23.81,70.83,2016-02-00 16:16:30
21.60,47.60,4540.80,81.00,0.00,457.40,23.81,72.87,2016-02-00 16:16:40
21.60,47.40,4540.80,81.10,0.00,457.18,23.78,96.61,2016-02-00 16:16:50
21.70,47.20,4540.80,81.50,0.00,453.79,23.82,71.80,2016-02-00 16:17:01
21.70,47.10,4540.80,81.50,0.00,457.37,23.80,86.39,2016-02-00 16:17:11
21.70,47.10,4540.80,81.50,0.00,453.90,23.80,96.89,2016-02-00 16:17:21
21.80,47.00,4540.80,81.50,0.00,457.10,23.83,78.19,2016-02-00 16:17:31
21.80,47.00,4540.80,81.50,0.00,447.69,23.84,72.25,2016-02-00 16:17:41
21.80,46.90,4540.80,81.50,0.00,449.84,23.91,84.96,2016-02-00 16:17:51
21.70,46.90,4540.80,81.50,0.00,457.53,23.92,83.63,2016-02-00 16:18:01
21.80,47.00,4540.80,81.00,0.00,453.46,23.89,82.84,2016-02-00 16:18:11
21.80,47.00,4540.80,81.00,0.00,450.64,23.81,90.19,2016-02-00 16:18:21
21.80,47.00,4540.80,81.50,0.00,449.78,23.75,88.26,2016-02-00 16:18:31
21.90,46.90,4540.80,81.50,0.00,453.59,23.79,75.76,2016-02-00 16:18:41
21.90,46.80,4540.80,81.50,0.00,452.58,23.79,93.26,2016-02-00 16:18:51
22.00,46.70,4540.80,81.50,0.00,450.03,23.72,84.98,2016-02-00 16:19:01
22.00,46.70,4540.80,81.50,0.00,453.57,23.81,87.05,2016-02-00 16:19:11
22.00,46.70,4540.80,81.30,0.00,450.14,23.83,90.49,2016-02-00 16:19:21
22.00,46.70,4540.80,81.00,0.00,450.08,23.80,88.36,2016-02-00 16:19:31
22.00,46.60,4540.80,81.50,0.00,449.43,23.69,88.81,2016-02-00 16:19:41
22.10,46.60,4540.80,81.50,0.00,453.63,23.79,94.34,2016-02-00 16:19:51
22.10,46.50,4540.80,81.50,0.00,457.00,23.76,81.86,2016-02-00 16:20:01
22.10,46.40,4540.80,81.00,0.00,455.16,23.82,89.30,2016-02-00 16:20:11
22.20,46.40,4540.80,81.50,0.00,456.94,23.92,80.33,2016-02-00 16:20:21
22.10,46.40,4540.80,81.50,0.00,454.95,23.81,88.54,2016-02-00 16:20:31
22.10,46.40,4540.80,81.40,0.00,453.86,23.83,92.60,2016-02-00 16:20:41
22.00,46.50,4540.80,81.60,0.00,457.23,23.86,84.70,2016-02-00 16:20:51
21.90,46.60,4540.80,81.50,0.00,457.43,23.90,80.45,2016-02-00 16:21:01
21.80,46.80,4540.80,81.00,0.00,460.32,23.90,88.59,2016-02-00 16:21:11
21.70,46.90,4540.80,81.50,0.00,457.28,23.91,87.74,2016-02-00 16:21:21
21.60,47.10,4540.80,81.30,0.00,457.04,23.96,87.41,2016-02-00 16:21:31
21.60,47.30,4540.80,81.10,0.00,456.94,23.88,94.24,2016-02-00 16:21:41
21.70,47.30,4540.80,81.60,0.00,456.93,23.90,81.76,2016-02-00 16:21:51
21.60,47.30,4540.80,81.50,0.00,452.58,23.98,83.74,2016-02-00 16:22:01
21.60,47.40,4540.80,81.50,0.00,453.52,23.92,90.15,2016-02-00 16:22:11
21.50,47.40,4540.80,81.50,0.00,454.25,23.94,91.22,2016-02-00 16:22:21
21.60,47.50,4540.80,81.40,0.00,457.22,23.96,83.72,2016-02-00 16:22:31
21.50,47.50,4540.80,82.00,0.00,456.15,24.03,81.93,2016-02-00 16:22:41
21.40,47.60,4540.80,81.90,0.00,461.14,24.02,86.72,2016-02-00 16:22:51
21.40,47.70,4540.80,82.00,0.00,457.30,24.03,93.65,2016-02-00 16:23:01
21.40,47.80,4540.80,81.50,0.00,455.69,23.94,94.57,2016-02-00 16:23:11
21.50,47.70,4540.80,81.80,0.00,457.55,24.05,81.88,2016-02-00 16:23:22
21.60,47.70,4540.80,81.80,0.00,456.54,23.99,89.45,2016-02-00 16:23:32
21.70,47.50,4540.80,81.80,0.00,457.58,24.05,84.45,2016-02-00 16:23:42
21.80,47.40,4540.80,81.90,0.00,456.36,24.04,86.97,2016-02-00 16:23:52
21.80,47.20,4540.80,81.40,0.00,457.48,24.05,89.11,2016-02-00 16:24:02
21.90,47.10,4540.80,81.50,0.00,455.71,23.96,95.53,2016-02-00 16:24:12
21.90,46.90,4540.80,81.50,0.00,454.07,24.02,88.89,2016-02-00 16:24:22
21.90,46.80,4540.80,81.30,0.00,457.67,24.05,88.42,2016-02-00 16:24:32
22.00,46.80,4540.80,81.90,0.00,457.24,24.04,88.62,2016-02-00 16:24:42
22.00,46.80,4540.80,81.90,0.00,457.53,24.04,90.18,2016-02-00 16:24:52
22.00,46.80,4540.80,81.30,0.00,457.74,24.06,90.71,2016-02-00 16:25:02
22.00,46.70,4540.80,81.50,0.00,456.40,24.02,88.31,2016-02-00 16:25:12
22.10,46.70,4540.80,81.50,0.00,457.28,24.02,93.81,2016-02-00 16:25:22
22.10,46.70,4540.80,81.90,0.00,457.24,24.01,90.40,2016-02-00 16:25:32
22.10,46.60,4540.80,81.80,0.00,456.82,24.04,92.17,2016-02-00 16:25:42
22.10,46.60,4540.80,81.60,0.00,456.58,23.93,92.38,2016-02-00 16:25:52
22.10,46.50,4540.80,81.50,0.00,458.33,23.93,90.23,2016-02-00 16:26:02
22.20,46.50,4540.80,82.00,0.00,461.10,24.01,95.62,2016-02-00 16:26:12
22.20,46.40,4540.80,81.40,0.00,461.32,24.13,87.42,2016-02-00 16:26:22
22.20,46.50,4540.80,81.80,0.00,457.69,24.09,90.90,2016-02-00 16:26:32
22.10,46.60,4540.80,81.40,0.00,457.20,24.07,91.34,2016-02-00 16:26:42
22.20,46.70,4540.80,81.20,0.00,454.03,24.07,91.96,2016-02-00 16:26:52
22.20,46.60,4540.80,81.80,0.00,457.55,24.05,82.88,2016-02-00 16:27:02
22.20,46.50,4540.80,81.90,0.00,460.55,24.04,90.58,2016-02-00 16:27:12
22.20,46.40,4540.80,81.10,0.00,460.57,24.07,93.56,2016-02-00 16:27:22
22.20,46.40,4540.80,81.40,0.00,461.30,24.05,83.25,2016-02-00 16:27:32
22.20,46.40,4540.80,82.00,0.00,452.53,24.07,90.13,2016-02-00 16:27:42
22.20,46.40,4540.80,82.00,0.00,461.14,24.08,88.93,2016-02-00 16:27:52
22.00,46.50,4540.80,81.70,0.00,464.88,24.27,91.29,2016-02-00 16:28:02
21.90,46.60,4540.80,81.80,0.00,468.61,24.28,94.39,2016-02-00 16:28:12
21.80,46.80,4540.80,81.70,0.00,465.32,24.29,84.99,2016-02-00 16:28:22
21.80,47.10,4540.80,82.10,0.00,458.80,24.25,90.56,2016-02-00 16:28:32
21.70,47.20,4540.80,82.00,0.00,460.85,24.23,91.70,2016-02-00 16:28:42
21.70,47.30,4540.80,82.00,0.00,460.70,24.25,88.38,2016-02-00 16:28:52
21.70,47.40,4540.80,81.90,0.00,460.90,24.25,88.35,2016-02-00 16:29:02
21.70,47.30,4540.80,81.80,0.00,461.30,24.17,95.33,2016-02-00 16:29:12
21.80,47.30,4540.80,81.80,0.00,461.30,24.19,89.88,2016-02-00 16:29:22
21.70,47.40,4540.80,82.20,0.00,457.89,24.18,93.47,2016-02-00 16:29:33
21.80,47.40,4540.80,82.00,0.00,457.20,24.08,90.25,2016-02-00 16:29:43
21.80,47.30,4540.80,82.20,0.00,458.71,24.07,87.74,2016-02-00 16:29:53
21.80,47.20,4540.80,82.20,0.00,462.90,24.24,89.92,2016-02-00 16:30:03
21.80,47.20,4540.80,81.80,0.00,461.30,24.25,92.51,2016-02-00 16:30:13
21.80,47.20,4540.80,81.90,0.00,460.33,24.28,85.96,2016-02-00 16:30:23
21.80,47.20,4540.80,82.10,0.00,457.18,24.23,90.51,2016-02-00 16:30:33
21.70,47.20,4540.80,82.40,0.00,460.19,24.25,88.93,2016-02-00 16:30:43
21.70,47.30,4540.80,81.90,0.00,460.98,24.27,88.37,2016-02-00 16:30:53
21.60,47.40,4540.80,82.40,0.00,461.08,24.23,89.53,2016-02-00 16:31:03
21.70,47.40,4540.80,82.50,0.00,459.29,24.23,92.86,2016-02-00 16:31:13
21.80,47.40,4540.80,82.20,0.00,457.26,24.24,91.93,2016-02-00 16:31:23
21.90,47.30,4540.80,81.80,0.00,460.74,24.16,92.61,2016-02-00 16:31:33
21.90,47.10,4540.80,82.00,0.00,460.43,24.23,92.10,2016-02-00 16:31:43
22.00,47.00,4540.80,82.20,0.00,460.62,24.25,90.74,2016-02-00 16:31:53
22.10,46.90,4540.80,82.00,0.00,459.34,24.25,88.84,2016-02-00 16:32:03
22.10,46.80,4540.80,81.80,0.00,457.01,24.26,91.52,2016-02-00 16:32:13
22.10,46.60,4540.80,82.00,0.00,455.51,24.05,95.60,2016-02-00 16:32:23
22.10,46.60,4540.80,82.40,0.00,457.27,24.06,88.98,2016-02-00 16:32:33
22.20,46.70,4540.80,82.20,0.00,457.03,24.12,95.14,2016-02-00 16:32:43
22.20,46.60,4540.80,82.10,0.00,459.97,24.19,94.60,2016-02-00 16:32:53
22.20,46.50,4540.80,82.00,0.00,453.66,24.25,89.25,2016-02-00 16:33:03
22.20,46.50,4540.80,82.30,0.00,457.25,24.28,88.64,2016-02-00 16:33:13
22.20,46.50,4540.80,81.90,0.00,456.97,24.21,90.60,2016-02-00 16:33:23
22.20,46.50,4540.80,81.90,0.00,460.63,24.25,89.47,2016-02-00 16:33:33
22.10,46.60,4540.80,82.00,0.00,456.96,24.16,93.15,2016-02-00 16:33:43
22.20,46.50,4540.80,82.40,0.00,461.05,24.19,86.48,2016-02-00 16:33:53
22.20,46.50,4540.80,82.30,0.00,457.15,24.16,88.36,2016-02-00 16:34:03
22.20,46.50,4540.80,81.90,0.00,458.75,24.10,92.74,2016-02-00 16:34:13
22.20,46.40,4540.80,82.20,0.00,459.91,24.24,92.02,2016-02-00 16:34:23
22.30,46.40,4540.80,82.30,0.00,460.37,24.22,93.15,2016-02-00 16:34:33
22.30,46.40,4540.80,82.00,0.00,457.09,24.11,95.33,2016-02-00 16:34:43
22.30,46.30,4540.80,82.30,0.00,465.01,24.26,93.24,2016-02-00 16:34:53
22.30,46.20,4540.80,82.40,0.00,462.05,24.30,89.79,2016-02-00 16:35:03
22.30,46.20,4540.80,82.70,0.00,459.41,24.22,90.90,2016-02-00 16:35:13
22.30,46.20,4540.80,82.30,0.00,463.51,24.33,94.01,2016-02-00 16:35:23
22.30,46.20,4540.80,82.30,0.00,461.20,24.32,91.70,2016-02-00 16:35:33
22.30,46.20,4540.80,82.40,0.00,463.89,24.35,92.72,2016-02-00 16:35:43
22.20,46.20,4540.80,82.80,0.00,465.16,24.47,94.41,2016-02-00 16:35:54
22.10,46.40,4540.80,82.20,0.00,450.21,24.62,90.70,2016-02-00 16:36:04
22.00,46.60,4540.80,82.00,0.00,450.70,24.63,94.66,2016-02-00 16:36:14
22.00,46.70,4540.80,82.80,0.00,436.32,24.57,92.50,2016-02-00 16:36:24
22.00,46.80,4540.80,81.70,0.00,434.12,24.41,94.51,2016-02-00 16:36:34
22.00,46.70,4540.80,81.60,0.00,441.56,24.38,93.29,2016-02-00 16:36:44
22.00,46.80,4540.80,81.50,0.00,442.72,24.35,93.67,2016-02-00 16:36:54
22.00,46.80,4540.80,81.50,0.00,444.41,24.39,93.17,2016-02-00 16:37:04
22.00,46.80,4540.80,81.80,0.00,446.99,24.50,92.97,2016-02-00 16:37:14
22.00,46.90,4540.80,81.70,0.00,445.20,23.81,92.68,2016-02-00 16:37:24
22.00,46.80,4540.80,82.00,0.00,446.98,24.28,92.27,2016-02-00 16:37:34
21.90,46.80,4540.80,81.80,0.00,462.23,24.40,93.01,2016-02-00 16:37:44
21.80,46.90,4540.80,81.50,0.00,456.63,24.55,91.03,2016-02-00 16:37:54
21.80,47.10,4540.80,81.20,0.00,455.24,24.49,91.02,2016-02-00 16:38:04
21.80,47.20,4540.80,82.20,0.00,453.00,24.62,91.64,2016-02-00 16:38:14
21.80,47.20,4540.80,81.70,0.00,452.77,24.57,91.48,2016-02-00 16:38:24
21.80,47.20,4540.80,81.30,0.00,457.64,24.67,91.84,2016-02-00 16:38:34
21.70,47.20,4540.80,82.30,0.00,452.69,24.52,89.90,2016-02-00 16:38:44
21.70,47.30,4540.80,81.40,0.00,456.18,24.57,90.05,2016-02-00 16:38:54
21.70,47.30,4540.80,80.90,0.00,441.31,24.58,89.54,2016-02-00 16:39:04
21.70,47.40,4540.80,81.40,0.00,464.09,24.51,92.10,2016-02-00 16:39:14
21.70,47.40,4540.80,81.60,0.00,451.58,24.51,93.64,2016-02-00 16:39:24
21.80,47.40,4540.80,81.10,0.00,451.46,24.45,93.95,2016-02-00 16:39:34
21.90,47.40,4540.80,81.00,0.00,454.22,24.42,94.35,2016-02-00 16:39:44
21.90,47.30,4540.80,81.50,0.00,447.86,24.30,94.71,2016-02-00 16:39:54
21.90,47.20,4540.80,81.50,0.00,448.01,24.40,94.29,2016-02-00 16:40:04
22.00,47.20,4540.80,80.60,0.00,439.36,24.44,93.30,2016-02-00 16:40:14
22.00,47.00,4540.80,81.30,0.00,445.11,24.31,93.97,2016-02-00 16:40:24
22.10,46.90,4540.80,81.50,0.00,445.77,24.36,93.06,2016-02-00 16:40:34
22.10,46.80,4540.80,81.20,0.00,444.47,24.34,94.19,2016-02-00 16:40:44
22.20,46.80,4540.80,82.30,0.00,463.93,24.61,91.42,2016-02-00 16:40:54
22.20,46.70,4540.80,82.30,0.00,440.13,24.44,94.14,2016-02-00 16:41:04
22.20,46.70,4540.80,82.20,0.00,443.61,24.45,93.62,2016-02-00 16:41:14
22.30,46.50,4540.80,81.80,0.00,443.72,24.43,92.26,2016-02-00 16:41:24
22.30,46.50,4540.80,81.20,0.00,442.96,24.43,94.58,2016-02-00 16:41:34
22.30,46.50,4540.80,81.70,0.00,431.17,24.42,92.76,2016-02-00 16:41:44
22.30,46.40,4540.80,81.00,0.00,452.60,24.31,93.28,2016-02-00 16:41:54
22.30,46.40,4540.80,82.00,0.00,442.75,24.36,92.71,2016-02-00 16:42:04
22.30,46.40,4540.80,81.90,0.00,447.27,24.37,92.95,2016-02-00 16:42:15
22.30,46.30,4540.80,81.40,0.00,443.61,24.41,90.81,2016-02-00 16:42:25
22.10,46.60,4540.80,82.30,0.00,449.88,24.53,93.50,2016-02-00 16:42:35
21.90,46.80,4540.80,81.40,0.00,452.35,24.12,90.31,2016-02-00 16:42:45
21.80,47.30,4540.80,81.60,0.00,468.75,24.56,89.02,2016-02-00 16:42:55
21.90,47.50,4540.80,81.80,0.00,461.07,24.78,93.75,2016-02-00 16:43:05
21.90,47.30,4540.80,80.80,0.00,456.97,24.80,90.76,2016-02-00 16:43:15
21.90,47.30,4540.80,81.00,0.00,455.65,24.68,90.18,2016-02-00 16:43:25
21.90,47.10,4540.80,82.20,0.00,445.53,24.75,91.73,2016-02-00 16:43:35
22.00,47.50,4540.80,81.00,0.00,426.50,24.53,87.32,2016-02-00 16:43:45
22.00,47.80,4540.80,80.50,0.00,444.46,23.93,87.39,2016-02-00 16:43:55
22.00,47.40,4540.80,81.20,0.00,437.55,24.30,87.09,2016-02-00 16:44:05
22.00,47.40,4540.80,80.60,0.00,442.47,24.46,85.94,2016-02-00 16:44:15
22.10,47.20,4540.80,80.70,0.00,470.46,24.48,85.86,2016-02-00 16:44:25
22.10,47.00,4540.80,81.00,0.00,438.82,23.97,89.21,2016-02-00 16:44:35
22.10,46.90,4540.80,82.00,0.00,435.73,24.38,89.02,2016-02-00 16:44:45
22.10,46.80,4540.80,80.70,0.00,446.19,24.58,85.56,2016-02-00 16:44:55
22.10,46.90,4540.80,80.70,0.00,441.04,24.67,86.60,2016-02-00 16:45:05
22.10,47.10,4540.80,80.90,0.00,438.91,24.58,86.16,2016-02-00 16:45:15
